engine_version,ticker,strategy,strategy_parameters,sample,start_date,end_date,source_sha256,repaired_range_fields,initial_balance,risk_pct,contract_multiplier,tick_size,commission_per_contract,slippage_ticks,max_leverage,sharpe_ratio,max_drawdown_pct,cagr_pct,total_return_pct,exposure_pct,num_trades,profit_factor,total_costs
0.2.0,SI=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,b6940f0a5f2740c8e5234ea1ff5940abaffcbf3f8b03242c630b1781cc46db5b,244,100000.0,0.02,5000,0.005,2.5,1,20.0,0.21,-34.81,2.23,20.06,18.9,58,1.18,1240.0
0.2.0,SI=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,b6940f0a5f2740c8e5234ea1ff5940abaffcbf3f8b03242c630b1781cc46db5b,244,100000.0,0.02,5000,0.005,2.5,1,20.0,0.25,-23.19,2.71,24.76,4.7,29,2.2,410.0
0.2.0,CL=F,2B Rule,lookback=20;confirmation_days=3,development,2000-09-21,2017-12-29,7bd5bb5cedfcdaf32fa993af37ef2a8b164bccff1b16eacfa42a04b699262f24,7,100000.0,0.02,1000,0.01,2.5,1,20.0,-0.4,-82.18,-8.58,-78.76,14.7,253,0.63,3095.0
0.2.0,CL=F,2B Rule (scaled),lookback=20;confirmation_days=3,development,2000-09-21,2017-12-29,7bd5bb5cedfcdaf32fa993af37ef2a8b164bccff1b16eacfa42a04b699262f24,7,100000.0,0.02,1000,0.01,2.5,1,20.0,-0.58,-46.84,-3.17,-42.63,5.4,145,0.36,1455.0
0.2.0,CL=F,2B Rule,lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,7bd5bb5cedfcdaf32fa993af37ef2a8b164bccff1b16eacfa42a04b699262f24,7,100000.0,0.02,1000,0.01,2.5,1,20.0,-0.88,-73.58,-14.69,-73.15,11.8,129,0.41,1815.0
0.2.0,CL=F,2B Rule (scaled),lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,7bd5bb5cedfcdaf32fa993af37ef2a8b164bccff1b16eacfa42a04b699262f24,7,100000.0,0.02,1000,0.01,2.5,1,20.0,-0.45,-18.17,-2.32,-17.64,4.3,76,0.55,880.0
0.2.0,CL=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-02-27,2017-12-29,7bd5bb5cedfcdaf32fa993af37ef2a8b164bccff1b16eacfa42a04b699262f24,7,100000.0,0.02,1000,0.01,2.5,1,20.0,0.41,-41.73,5.32,139.37,26.3,165,1.5,2350.0
0.2.0,CL=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-02-27,2017-12-29,7bd5bb5cedfcdaf32fa993af37ef2a8b164bccff1b16eacfa42a04b699262f24,7,100000.0,0.02,1000,0.01,2.5,1,20.0,-0.28,-23.56,-1.45,-21.82,1.3,46,0.06,535.0
0.2.0,CL=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,7bd5bb5cedfcdaf32fa993af37ef2a8b164bccff1b16eacfa42a04b699262f24,7,100000.0,0.02,1000,0.01,2.5,1,20.0,-0.07,-32.42,-1.99,-15.31,15.7,80,0.85,1115.0
0.2.0,CL=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,7bd5bb5cedfcdaf32fa993af37ef2a8b164bccff1b16eacfa42a04b699262f24,7,100000.0,0.02,1000,0.01,2.5,1,20.0,-0.07,-6.66,-0.29,-2.36,1.7,22,0.8,405.0
