ticker,strategy,sharpe_ratio,max_drawdown_pct,total_return_pct,num_trades,win_rate_pct,profit_factor,expectancy
GC=F,2B Rule,0.77,-32.53,2214303.74,700,33.4,2.11,316329.11
GC=F,2B Rule (scaled),0.58,-13.78,22033.6,800,33.1,2.3,2754.2
GC=F,Wavelet-2B,0.51,-32.33,2221.19,328,34.8,2.51,649.47
GC=F,Wavelet-2B (scaled),0.57,-16.93,1025.05,409,32.3,2.83,191.49
SI=F,2B Rule,0.96,-22.15,19220958.89,662,41.7,2.51,2830682.28
SI=F,2B Rule (scaled),1.02,-10.35,36041.78,749,41.3,3.03,4770.98
SI=F,Wavelet-2B,0.88,-18.61,470035.17,355,46.8,3.04,113307.72
SI=F,Wavelet-2B (scaled),0.8,-9.71,4072.62,433,42.3,2.78,889.06
CL=F,2B Rule,0.35,-83.35,950.18,940,19.5,1.15,101.08
CL=F,2B Rule (scaled),0.38,-50.69,360.4,1110,19.9,1.27,32.47
CL=F,Wavelet-2B,0.49,-54.12,2211.38,377,27.3,1.42,586.57
CL=F,Wavelet-2B (scaled),0.64,-29.81,1032.52,489,26.8,1.77,211.15
NG=F,2B Rule,0.41,-80.28,13276.33,990,22.4,1.32,1341.04
NG=F,2B Rule (scaled),0.42,-33.42,4859.74,1162,23.6,1.6,418.22
NG=F,Wavelet-2B,0.33,-48.34,398.59,416,27.9,1.18,95.81
NG=F,Wavelet-2B (scaled),0.39,-25.04,163.84,534,27.0,1.31,30.68
HG=F,2B Rule,0.58,-37.65,31761.42,754,34.5,1.44,3948.03
HG=F,2B Rule (scaled),0.44,-18.16,2051.44,859,33.8,1.76,233.37
HG=F,Wavelet-2B,0.49,-21.66,98742.52,391,41.4,2.11,25253.84
HG=F,Wavelet-2B (scaled),0.5,-8.96,15568.69,489,38.2,3.05,3183.78
ZW=F,2B Rule,0.71,-44.76,320936.77,762,26.9,1.43,41331.36
ZW=F,2B Rule (scaled),0.52,-21.8,5041.74,873,26.2,1.59,566.28
ZW=F,Wavelet-2B,0.48,-48.38,6309.64,385,31.4,1.26,1524.94
ZW=F,Wavelet-2B (scaled),0.49,-30.41,624.85,517,28.6,1.43,117.32
ZC=F,2B Rule,0.41,-62.79,1278.94,775,24.4,1.14,165.03
ZC=F,2B Rule (scaled),0.37,-25.53,194.23,881,23.7,1.2,21.77
ZC=F,Wavelet-2B,0.27,-50.99,311.49,394,27.9,1.17,79.06
ZC=F,Wavelet-2B (scaled),0.42,-21.12,322.24,517,27.7,1.56,62.33
ZS=F,2B Rule,0.59,-57.81,12326.73,815,25.3,1.15,1518.31
ZS=F,2B Rule (scaled),0.58,-30.06,767.21,967,24.6,1.32,79.45
ZS=F,Wavelet-2B,0.58,-51.52,65781.17,430,30.7,1.58,15297.95
ZS=F,Wavelet-2B (scaled),0.54,-24.0,2415.21,546,29.5,2.1,442.35
KC=F,2B Rule,0.68,-64.71,195260.68,818,28.2,1.57,23441.04
KC=F,2B Rule (scaled),0.77,-31.36,4079.38,948,28.6,1.74,427.64
KC=F,Wavelet-2B,0.37,-38.69,651.27,407,30.5,1.95,156.7
KC=F,Wavelet-2B (scaled),0.37,-34.97,151.9,539,28.4,1.45,27.21
LE=F,2B Rule,0.72,-76.37,872860.33,731,27.1,1.5,119406.34
LE=F,2B Rule (scaled),0.71,-38.47,8363.62,847,26.8,1.88,987.44
LE=F,Wavelet-2B,0.43,-59.1,1125.5,389,30.1,1.13,289.33
LE=F,Wavelet-2B (scaled),0.44,-31.83,257.31,465,27.5,1.27,44.52
